name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Yukon-Charley Rivers NPRES,-1,-1,-1,"1,161","1,580","1,236","2,069","1,317","1,000",646,477,"1,232","1,793","1,858","2,362","2,219","2,139","4,269","5,310","14,264","14,934","15,444","15,492","15,002","14,625","12,174","24,170","24,722","23,197","17,514","15,562","7,102","5,519","5,173","21,437","10,471"
Theodore Roosevelt NP,624,681,747,873,852,732,697,782,880,426,526,644,682,996,914,"1,598","2,088","1,155","1,115","1,482","1,465",971,771,"1,072","1,185",750,634,"1,110",480,593,798,732,768,891,841,849
White Sands NM,621,460,521,467,387,877,476,518,870,797,991,"1,117","1,184","1,696","2,120","2,426","2,760","2,334","2,826","1,639","2,056","1,795","2,155","1,894","2,049","1,745","1,662","1,048",950,"1,330","1,751","1,811","2,185","2,272","2,284","2,087"
Great Sand Dunes NP & PRES,387,465,573,706,639,673,721,758,811,"1,112",695,447,505,675,963,"1,210","1,313","1,300","1,216","1,437","1,404","1,367","1,982","1,470","2,122","1,808","1,804","1,651","2,309","2,119","2,355","2,171","2,201","2,613","2,300","3,405"
Curecanti NRA,356,573,"1,589","1,252","1,231","1,174","1,032","1,071",756,622,708,594,720,614,500,687,805,804,905,998,573,49,113,30,-1,-1,"1,086",135,-1,-1,-1,-1,115,117,-1,218
Allegheny Portage Railroad NHS,-1,-1,-1,-1,-1,-1,-1,-1,638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Navajo NM,531,503,571,593,574,431,547,515,632,595,586,393,449,794,536,729,703,601,632,497,404,483,491,284,446,359,273,328,262,163,230,265,150,138,229,216
Petrified Forest NP,602,612,716,281,492,432,406,586,588,477,579,682,924,"1,087",872,907,927,545,638,761,464,623,579,357,308,"1,213",272,142,198,174,276,300,252,257,264,252
Golden Gate NRA,-1,-1,-1,-1,2,362,241,296,479,361,454,614,619,534,619,619,619,744,454,721,683,"1,075",658,778,685,659,525,708,690,767,782,782,"1,090",958,919,"1,363"
Canaveral NS,-1,-1,-1,80,269,180,213,447,478,336,457,948,965,"1,581","2,549","2,122","1,900","3,215","5,185","2,311","2,142","2,189","4,332","3,694","3,931","2,308","2,277","2,883","2,900","2,474","2,081","2,702","3,146","2,769","2,128","3,161"
Big Thicket NPRES,-1,-1,127,290,289,593,540,392,471,726,759,"1,307","1,565","1,523","2,073","2,191","2,092","2,328","1,192","1,206","1,103","1,474","1,257","1,512","1,764",938,"1,488","1,125","1,202",924,"2,722","1,932","1,891","2,807","2,461","2,450"
Redwood NP,"1,894","2,084","1,339","1,106","1,106",858,843,814,452,641,773,"1,038",878,"1,484","1,427","1,730","1,270","3,102","2,169","1,988","1,594","1,404","1,537","1,640","1,095","1,392","1,031","1,109","1,005","1,384","1,338",903,"1,330","1,255","3,096","3,829"
Black Canyon of the Gunnison NP,"1,404","1,560","2,136","1,708","1,116",567,409,405,436,563,685,"1,011",693,"1,516","1,872","3,865","1,968","2,156","1,839","1,493","1,597","2,456","1,729","1,884","2,037","1,782","1,635","1,829","1,705","1,259","1,412","1,146",631,666,575,390
Congaree NP,-1,-1,-1,-1,-1,-1,55,92,382,322,274,181,167,330,260,455,293,195,312,249,288,631,454,439,212,477,490,686,795,"1,084",861,"1,174","1,176",867,579,460
Great Basin NP,-1,-1,-1,-1,-1,-1,-1,-1,345,536,480,348,292,434,529,262,340,318,308,289,265,294,211,200,148,355,191,304,420,392,445,613,674,638,691,"1,063"
Prince William Forest Park,746,685,524,413,434,325,166,217,344,133,159,180,222,162,36,93,97,164,142,79,91,65,64,70,44,337,191,283,353,396,317,368,328,388,283,356
"John D. Rockefeller, Jr. MEM PKWY",300,168,380,209,286,204,356,310,197,108,256,251,452,514,"2,255","2,211","2,324","2,113","1,986","1,911","2,011","2,219","2,524","2,626","2,751","1,818","3,467","3,227","2,524","3,078","2,558","2,677","1,253","2,986",48,"1,642"
Grand Portage NM,386,465,319,313,221,267,294,239,191,187,106,159,116,74,109,142,272,89,92,70,145,83,103,179,46,66,67,154,99,125,60,210,149,200,32,48
Knife River Indian Villages NHS,-1,-1,-1,-1,8,135,-1,221,137,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kobuk Valley NP,-1,-1,-1,895,100,145,240,185,120,640,355,253,243,259,262,256,-1,256,256,-1,-1,-1,-1,50,35,-1,148,509,292,334,818,503,"4,896","8,400","5,925",-1
Craters of the Moon NM,252,342,283,426,227,119,118,130,112,42,56,42,75,146,127,121,141,140,132,136,121,143,145,94,77,110,76,69,57,69,113,110,55,139,164,207
Catoctin Mountain Park,190,143,157,100,89,96,119,150,104,44,131,89,97,161,99,144,118,142,153,183,130,135,120,113,137,134,57,144,109,130,166,194,169,295,393,477
Carlsbad Caverns NP,"1,570","1,245","1,437","1,534",923,252,256,159,91,351,122,147,161,164,165,273,319,303,393,922,257,140,157,162,160,155,137,95,93,86,114,170,107,151,176,146
Badlands NP,856,938,391,104,134,70,106,188,82,115,113,124,220,279,341,699,756,841,"1,046",862,911,859,692,540,384,879,654,397,710,613,"1,410","1,658","1,578",979,"1,429","1,419"
Colorado NM,89,202,78,43,73,86,69,82,75,85,92,125,88,123,151,129,283,262,171,222,187,238,163,141,190,124,135,125,88,106,154,198,242,232,174,194
Wind Cave NP,-1,-1,-1,-1,-1,-1,-1,40,57,68,179,56,165,227,306,297,406,589,200,277,289,245,401,347,185,230,176,181,168,100,163,296,249,226,219,220
Cape Krusenstern NM,-1,-1,-1,225,120,40,70,100,50,310,125,109,142,190,188,177,-1,177,177,-1,-1,-1,-1,40,15,-1,279,505,251,267,662,427,"4,335","6,500","6,075",-1
Kings Mountain NMP,-1,-1,-1,-1,-1,36,52,75,49,124,71,86,56,50,92,90,37,47,78,71,69,71,131,97,80,76,90,113,96,61,87,86,92,267,107,154
Death Valley NP,636,291,103,777,591,519,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fort Pulaski NM,-1,-1,-1,-1,-1,-1,397,88,36,620,298,8,465,52,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ross Lake NRA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"7,156","11,824","12,290","16,376","16,627","15,990","13,716","13,688","15,555","16,075","12,056","14,831","14,263","14,084","14,905","16,287","14,369","14,376","14,751","17,995","21,879","20,874","21,183","22,892"
Big South Fork NRRA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"5,280","5,151","7,138","5,732","5,245","5,717","6,859","8,473","12,640","16,846","22,301","18,738","21,325","20,520","16,928","19,301","16,015","15,856","11,889","12,138","11,272"
Cumberland Island NS,-1,-1,-1,-1,-1,-1,-1,-1,-1,"7,258","8,437","8,519","7,811","8,412","8,798","9,014","7,614","7,868","7,950","7,895","7,626","6,791","7,269","6,429","6,225","5,936","5,324","4,077","5,207","5,097","5,575","5,480","4,760","5,327","6,923","6,333"
Big Cypress NPRES,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,477,"1,551","18,786","11,123","8,701","12,959","12,836","15,093","10,158","12,294","14,326","13,063","12,292","11,715","9,798","11,814","18,783","11,679","12,600","1,055","4,271","14,627","3,843","11,513"
