name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Klondike Gold Rush NHP Alaska,0,0,0,"1,713",711,945,958,974,"1,225","1,100",956,"1,227",997,"1,820","1,432",577,519,542,314,481,759,578,455,618,34,6,"1,062",31,"1,929","2,349","1,370","2,740","1,370",2,"1,848","1,470","2,264"
Arches NP,"17,605","15,855","14,210","14,591","13,245","11,959","14,049","16,438","17,627","19,751","15,017","16,870","17,871","15,893","12,002","13,039","12,437","12,905","13,284","13,618","15,520","14,116","12,466","12,074","11,974","13,616","14,380","15,454","15,081","14,595","16,411","15,478","16,643","14,742","14,431","15,436","16,565"
Katmai NP & PRES,"2,746","1,589","2,396","2,751",769,12,674,"2,368","2,253","3,157","3,227","3,133","3,564","3,683","3,653","3,705",0,0,"2,724","1,269","3,025","3,084","2,315","2,315","2,043","2,521","2,881","2,873","2,296",0,"1,993","2,319","4,014","3,547","2,881","1,898","2,098"
Kenai Fjords NP,0,0,0,478,451,561,"1,430",340,769,35,243,66,222,62,74,30,8,"2,074",72,332,86,28,"1,574",52,164,66,"1,718","1,236","1,460","1,478","1,146","1,284","1,250",986,822,"1,130","1,434"
Capitol Reef NP,"16,501","16,513","15,838","18,831","18,432","17,450","15,231","17,174","23,663","25,206","27,485","26,165","24,986","23,678","22,077","21,707","21,668","21,711","21,022","21,197","20,708","19,657","17,928","23,462","17,986","17,779","17,638","17,372","17,876","17,490","17,710","18,955","18,434","16,976","17,565","21,285","20,695"
Assateague Island NS,"16,959","3,414","4,934","4,457","3,288","3,684","4,587","9,968","6,968","10,405","13,664","18,966","22,358","14,404","13,941","14,214","14,381","12,906","15,238","18,046","18,361","17,958","19,881","18,968","17,579","22,204","21,171","22,098","22,009","20,121","23,404","23,228","22,132","22,880","17,986","21,515","20,413"
Gates of the Arctic NP & PRES,0,0,0,"7,728","7,683","15,995","5,239","1,989","1,759","3,552","3,252","4,882","5,841","5,581","5,744","5,285","8,812","3,776","5,481","12,485","6,282",0,"1,366","2,655","4,293","5,345","4,383","6,040","5,461","6,274","4,638","7,175","6,576","5,708","7,646","6,166","9,473"
Padre Island NS,"20,649","15,590","13,625","18,368","15,964","13,481","13,124","17,684","13,924","27,214","16,984","18,130","41,496","53,196","50,858","53,368","44,229","45,088","36,323","42,275","45,701","40,893","37,746","34,904","33,528","34,408","33,649","31,625","34,295","31,013","33,964","33,885","28,936","26,938","25,538","28,759","25,940"
Mammoth Cave NP,"19,900","27,478","30,328","32,348","25,036","23,822","25,804","23,440","23,596","25,388","24,485","24,367","29,119","20,673","28,444","24,224","26,664","21,328","22,456","18,156","16,204","15,148","14,992","16,100","15,960","14,448","13,284","12,900","15,468","10,708","12,604","10,464","9,584","11,652","9,496","10,676","11,592"
Channel Islands NP,"1,938","1,558",969,"2,173","1,333","1,913","1,831","1,891","1,596","1,786","1,805","1,739","1,437","2,330","1,672","1,553","5,258","6,165","9,287","11,314","9,459","10,227","10,326","13,338","15,318","17,086","19,174","17,692","17,801","16,949","20,197","37,071","22,831","19,785","20,032","23,068","23,326"
Saguaro NP,"3,622","3,881","3,144","2,799","2,714","2,301","1,834","1,796","1,549","1,822","1,247","1,129","1,516","1,523","1,593","1,501","1,539","1,573","1,592","1,839","1,594","1,560","1,683","1,424","1,208","2,203","1,447","1,552","1,295","1,599","1,599","1,568","2,033","1,545","1,610","1,377","1,846"
Blue Ridge PKWY,"112,759","144,375","140,451","126,365","89,251","85,257","96,591","88,961","83,586","85,471","72,531","72,221","72,619","67,712","69,040","57,998","58,410","53,147","55,554","65,201","50,840","42,894","44,059","62,591","43,527","37,437","28,180","35,837","41,822","40,688","37,702","39,161","35,988","35,862","22,691","29,104","33,499"
Cumberland Gap NHP,"6,008","5,133","5,704","7,709","5,519","4,318","3,933","4,863","4,596","4,936","4,395","4,242","3,508","4,395","3,755","4,485","5,687","4,794","4,250","4,925","6,027","6,636","7,747","7,487","8,328","9,178","7,716","8,831","9,298","4,603","9,530","9,923","9,839","8,374","8,821","9,033","9,230"
Crater Lake NP,"34,677","26,001","23,724","16,821","2,055","1,649","1,185","1,376","1,466",263,296,"2,362",963,"1,390","1,643","2,372","2,945",996,"1,106","1,443","3,179","2,408","4,292","6,803","3,123","4,266","2,999","2,401","4,165","2,751","5,076","5,778","4,241","6,527","3,022","3,313","7,548"
Canyon de Chelly NM,"21,281","17,002","21,489","22,422","26,610","23,250","23,304","26,784","33,510","32,289","31,623","27,863","31,644","32,175","35,739","36,169","31,341","29,973","27,402","25,950","29,478","30,321","20,073","16,887","16,770","21,015","21,399","14,673","15,042","13,056","14,886","13,713","10,764","9,273",527,827,607
Yukon-Charley Rivers NPRES,0,0,0,"1,161","1,580","1,236","2,069","1,317","1,000",646,477,"1,232","1,793","1,858","2,362","2,219","2,139","4,269","5,310","14,264","14,934","15,444","15,492","15,002","14,625","12,174","24,170","24,722","23,197","17,514","15,562","7,102","5,519","5,173","21,437","10,471","3,183"
Theodore Roosevelt NP,"15,422","16,407","20,810","19,600","14,614","12,075","11,415","12,772","14,053","11,626","13,937","15,668","15,506","15,782","16,800","17,798","15,582","16,338","15,631","14,111","15,681","14,989","12,320","13,427","12,555","11,982","13,557","10,575","11,331","9,358","14,174","14,425","9,182","12,569","13,503","12,973","15,011"
White Sands NM,621,460,521,467,387,877,476,518,870,797,991,"1,117","1,184","1,696","2,120","2,426","2,760","2,334","2,826","1,639","2,056","1,795","2,155","1,894","2,049","1,745","1,662","1,048",950,"1,330","1,751","1,811","2,185","2,272","2,284","2,087","3,516"
Great Sand Dunes NP & PRES,"14,915","14,193","16,360","16,682","15,905","14,599","15,254","13,816","14,794","13,666","15,848","14,590","15,698","16,190","14,588","14,020","14,320","13,177","13,810","11,844","13,867","11,031","14,206","11,891","13,065","13,482","14,682","11,775","14,906","11,745","13,498","13,528","13,688","10,504","7,326","15,180","15,028"
Curecanti NRA,"87,037","86,780","87,616","81,308","91,584","84,752","98,373","110,744","112,414","81,464","87,076","93,360","87,716","79,269","61,607","54,552","59,456","58,912","58,848","60,360","58,188","59,660","48,216","36,496","31,192","45,356","35,488","36,484","36,928","41,984","40,128","39,592","37,780","35,444","32,376","33,468","39,316"
Allegheny Portage Railroad NHS,33,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navajo NM,"5,047","4,677","5,460","5,034","5,825","3,773","4,806","4,624","5,116","6,681","4,614","3,930","4,163","5,817","4,256","3,251","3,464","2,701","3,392",860,"1,229",949,882,588,748,858,"1,327",767,812,749,925,"1,000",976,"1,276","1,040","1,252",984
Petrified Forest NP,602,612,716,281,492,432,406,586,588,477,579,682,924,"1,087",872,907,927,545,638,761,464,623,579,357,308,"1,213",272,142,198,174,276,300,252,257,264,252,437
Golden Gate NRA,0,0,0,0,241,"2,288","2,292","2,427","2,592","2,264","1,913","2,327","2,328","2,578","2,328","2,328","2,328","2,948","2,266","3,797","3,088","3,184","2,823","3,338","2,750","3,076","2,501","2,767","3,584","3,364","2,936","2,831","3,556","3,442","3,486","4,095","4,935"
Canaveral NS,0,0,0,80,269,180,213,447,478,336,457,948,965,"1,581","2,549","2,122","1,900","3,215","5,185","2,311","2,142","2,189","4,332","3,694","3,931","2,308","2,277","2,883","2,900","2,474","2,081","2,702","3,146","2,769","2,128","3,161","4,040"
Big Thicket NPRES,0,0,127,290,289,593,540,392,471,726,759,"1,307","1,565","1,523","2,073","2,191","2,092","2,328","1,192","1,206","1,103","1,474","1,257","1,512","1,764",938,"1,488","1,125","1,202",924,"2,722","1,932","1,891","2,807","2,461","2,450","2,133"
Redwood NP,"1,501","1,721",770,755,823,"1,401","1,950","1,438","1,437","3,192","1,156","2,191","49,304","49,832","40,179","52,859","150,923","63,883","44,286","43,731","49,214","37,964","19,584","18,652","15,939",140,"1,620","1,407","1,310","1,521","1,541","1,758","1,294","1,362","3,567","3,676","4,554"
Black Canyon of the Gunnison NP,"11,652","11,267","11,964","10,396","9,865","7,459","2,345","2,296","2,119","2,026","1,957","5,307","9,929","7,978","7,392","4,918","4,236","4,751","4,031","3,953","3,268","3,824","4,751","3,811","7,110","6,637","5,464","4,624","6,401","5,540","5,771","7,089","7,568","8,979","8,306","7,369","8,619"
