name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Lake Meredith NRA,438,"2,230","1,245","1,018","1,320","1,337","1,714","1,513","2,915","5,396","8,570","7,848","13,478","7,428","21,775","28,688","29,798","25,682","22,077","18,654","15,187","14,083","11,252","7,315","13,030","10,280","9,663","8,648","8,074","6,104","7,331","4,780","3,646","8,545","2,853","3,762"
Wrangell-St. Elias NP & PRES,0,0,0,698,874,"1,931","2,178","2,757","2,716","2,896","3,094","1,446","1,681","1,642","5,844","7,815","14,033","23,571","26,834","4,557","6,584","2,009",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apostle Islands NL,"3,312","2,151","2,903","2,833","2,949","2,806","2,766","3,149","3,099","7,753","7,454","7,824","8,669","7,387","9,214","10,958","12,401","13,120","12,897","15,321","15,250","18,511","19,263","20,028","16,384","14,920","15,536","15,000","16,207","14,746","15,766","15,533","14,665","14,376","14,064","12,795"
Bryce Canyon NP,"47,916","50,369","49,519","47,612","44,342","48,928","44,347","39,185","46,838","51,230","51,110","50,362","54,404","59,355","57,626","53,311","35,807","40,402","43,220","37,593","40,020","36,285","33,618","40,237","37,635","46,197","35,793","32,045","34,069","32,661","37,822","39,591","35,527","41,299","37,839","38,054"
Guadalupe Mountains NP,"8,435","8,419","8,945","10,060","10,895","11,408","11,107","12,559","12,288","14,206","10,265","9,453","10,854","10,950","12,408","11,371","11,581","10,720","11,280","10,724","11,000","9,599","9,973","10,131","9,471","8,004","7,912","8,606","8,509","9,516","10,052","8,805","6,893","9,042","8,200","7,719"
Klondike Gold Rush NHP Alaska,0,0,0,"1,696",903,"1,615","1,381","1,543","2,183","2,005","1,712","1,653","1,669","2,412","2,789","1,211","1,437","1,106",608,612,"1,627","1,047",608,"1,033","2,406","2,927","1,299","2,218","1,929","2,349","1,370","2,740","1,370","2,221","1,848","1,470"
Arches NP,"18,772","20,590","24,951","21,660","17,652","17,171","22,258","24,227","24,469","25,046","27,072","31,632","29,698","32,777","30,028","28,835","27,963","27,266","28,229","30,348","26,984","26,940","29,711","29,450","28,308","29,524","32,040","30,090","29,023","29,299","30,542","23,616","26,264","27,002","27,705","25,252"
Katmai NP & PRES,"2,746","1,589","2,396","2,751",769,"2,588",674,"2,368","2,253","3,157","3,227","3,133","3,564","3,683","3,653","3,705",0,0,"2,724","1,269","3,025","3,084","2,315","2,315","2,043","2,521","2,881","2,873","2,296",0,"1,993","2,319","4,014","3,547","2,881","1,898"
Kenai Fjords NP,0,0,0,478,451,561,"1,430",340,769,271,243,571,712,862,784,"1,320","1,882","2,074","1,818","1,928","1,628","1,292","1,574","1,032",34,"1,184","1,718","1,236","1,460","1,478","1,146","1,284","1,250",986,822,"1,130"
Capitol Reef NP,"10,976","11,909","11,894","11,656","12,337","12,522","10,628","12,415","15,129","15,248","16,803","16,713","16,965","18,804","17,026","17,479","17,026","17,963","17,116","17,225","16,445","17,757","16,341","16,380","15,415","15,607","14,154","12,147","14,189","17,195","14,526","15,996","14,771","16,733","15,213","17,147"
Assateague Island NS,"24,421","7,019","14,052","13,476","11,216","11,699","11,123","13,075","12,808","15,490","14,138","23,101","24,565","28,125","32,159","42,077","43,837","42,340","46,760","52,088","46,724","52,629","59,280","52,354","49,379","60,476","80,738","54,882","52,742","49,114","51,779","39,523","35,929","39,184","35,782","38,429"
Gates of the Arctic NP & PRES,0,0,0,"7,728","7,683","15,995","5,239","1,989","1,759","3,552","3,252","4,882","5,841","5,581","5,744","5,285","8,812","3,776","5,481","12,485","6,282",0,"1,366","2,655","4,293","5,345","4,383","6,040","5,461","6,274","4,638","7,175","6,576","5,708","7,646","6,166"
Padre Island NS,"9,142","6,072","8,124","12,621","9,761","5,672","5,662","8,726","5,759","1,491","3,362","4,816","25,263","24,043","19,259","23,271","16,835","16,056","15,818","15,469","14,123","13,741","13,789","17,174","14,913","15,473","15,226","13,178","13,387","12,134","21,503","19,407","16,700","16,833","16,954","21,430"
Mammoth Cave NP,"28,032","33,669","35,882","36,919","30,814","30,689","31,366","28,976","27,385","32,464","33,184","33,952","39,171","30,221","43,700","36,804","37,400","37,728","41,296","38,468","40,540","37,196","34,004","35,996","33,480","37,352","31,896","30,144","30,436","31,556","36,668","34,176","32,440","34,096","32,644","34,156"
