name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Katmai NP & PRES,"10,659","11,824","13,115","14,377","11,182","20,074","25,142","41,663","38,212","45,710","40,247","40,778","41,417","46,196","53,421","55,728",0,0,"18,802","45,470","51,399","71,389","67,038","59,025","51,589","56,787","54,274","68,630","82,634","7,970","43,035","55,172","48,939","39,818","28,966","30,896","37,818"
Kenai Fjords NP,0,0,0,"16,118","24,048","30,703","35,758","54,296","60,428","59,017","75,557","66,115","107,041","108,130","189,712","209,516","230,657","274,034","306,164","263,948","290,673","254,790","262,353","251,799","243,719","244,232","258,297","251,630","284,604","272,190","218,358","297,596","346,852","281,279","283,502","270,666","296,697"
Capitol Reef NP,"288,860","342,788","397,789","289,486","331,734","296,230","320,503","383,742","428,808","469,556","515,278","562,477","618,056","675,837","610,707","605,324","648,864","678,012","625,680","656,026","680,153","612,656","527,760","525,646","535,441","549,708","550,255","511,511","554,907","604,811","617,208","662,661","668,834","673,345","663,670","786,514","941,029"
Assateague Island NS,"1,674,861","1,967,525","2,019,316","2,019,438","2,150,285","2,024,519","2,304,906","2,452,652","2,648,892","2,418,662","2,074,764","2,050,593","2,087,524","1,868,445","2,002,612","1,958,017","1,928,397","1,910,450","1,892,042","1,836,784","1,891,992","1,810,501","1,897,634","2,117,458","2,020,666","2,048,789","1,996,502","1,932,817","2,110,918","2,011,438","2,129,658","2,106,090","2,105,419","2,154,859","2,056,828","2,170,681","2,275,606"
Gates of the Arctic NP & PRES,0,0,0,"1,381","2,138","2,440","1,381","2,801","1,060","1,258",822,"1,010","1,154","2,116","2,245","1,726","7,074","6,448","6,949","8,266","8,166","11,278","4,505","6,648","5,075","10,282","9,459","9,982","10,942","11,397","9,975","10,840","11,623","10,899","11,012","12,669","10,745"
Padre Island NS,"774,862","765,423","620,782","731,218","630,165","613,386","669,078","708,932","605,977","587,283","586,235","593,255","972,122","848,073","766,391","915,596","755,817","840,236","677,492","707,999","630,562","759,596","656,873","532,843","568,737","643,792","666,580","730,994","658,317","635,925","642,163","612,716","542,873","573,855","515,830","578,815","582,839"
Mammoth Cave NP,"1,384,910","1,495,787","1,404,317","1,526,676","1,498,503","1,501,450","1,507,939","1,646,673","1,636,340","1,735,610","1,672,840","1,924,538","2,158,195","2,392,858","2,396,234","2,009,935","1,935,709","1,896,829","1,997,658","2,113,992","1,710,983","1,749,268","1,883,580","1,891,307","1,869,137","1,888,267","1,878,006","597,934","487,305","446,174","503,856","497,225","483,319","508,054","494,541","522,628","566,895"
Channel Islands NP,"82,937","104,574","87,514","172,287","205,024","203,411","164,132","172,913","174,607","168,592","152,662","144,083","149,263","169,181","184,867","175,226","525,882","490,715","488,757","574,270","607,057","482,571","520,428","613,935","585,919","537,716","434,107","375,256","360,806","332,177","348,745","277,515","242,756","249,594","212,029","342,161","324,816"
Saguaro NP,"566,486","611,317","470,598","566,807","634,688","699,292","636,711","613,651","689,933","675,397","706,191","702,328","679,034","810,059","828,267","768,685","732,813","671,643","739,410","716,160","749,014","765,195","725,874","615,045","643,697","651,464","727,208","619,983","658,477","699,137","665,234","717,614","610,045","634,286","678,261","673,572","753,446"
Blue Ridge PKWY,"11,700,219","13,415,014","13,625,753","14,360,184","15,208,455","15,135,991","17,193,408","17,076,150","18,604,627","20,002,975","16,176,171","16,854,602","16,414,294","17,561,391","17,889,335","16,928,639","17,415,519","17,169,062","18,373,279","19,026,498","19,836,842","19,153,081","19,969,587","21,538,760","18,344,051","17,999,116","17,882,567","18,953,478","17,352,286","16,309,307","15,936,316","14,517,118","15,382,447","15,205,059","12,877,368","13,941,749","15,054,603"
